"","facility_id","common_name","address","zip_code","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","geom"
"829",23,"1960 | Pier 96","Pier 96",94124,"Own",46,"Port",256361,-122.369804589,37.740134577,"POINT (-122.36980458900001 37.74013457699999)"
"830",1839,"Washington Square Bathrooms","600 Columbus Ave",94133,"Own",49,"Recreation And Parks",292,-122.410541631,37.80096862,"POINT (-122.410541631 37.80096861999999)"
"831",1929,"Pier 47 - Guardinos Storage Bldg","The Embarcadero",94133,"Own",46,"Port",768,-122.418529639,37.808530178,"POINT (-122.41852963899998 37.80853017800001)"
"832",864,"Herz Clubhouse","1700 Visitacion Ave",94134,"Own",49,"Recreation And Parks",12125,-122.416356525,37.713793184,"POINT (-122.41635652500003 37.713793184)"
"833",1074,"Mccoppin Square Clubhouse","2354 24th Ave",94116,"Own",49,"Recreation And Parks",2000,-122.480758867,37.743538362,"POINT (-122.48075886700002 37.74353836199998)"
"834",1060,"Mariposa Pump Station","815 Terry A Francois St",94158,"Own",47,"Public Utilities Commission",850,-122.387445845,37.764318002,"POINT (-122.387445845 37.76431800199998)"
"835",1288,"Pier 26.5 - Bulkhead","The Embarcadero",94105,"Own",46,"Port",27300,-122.387380589,37.788439134,"POINT (-122.38738058899997 37.78843913399999)"
"836",1117,"Mission Branch Library","300 Bartlett St",94110,"Own",48,"Public Library",10479,-122.419826464,37.751968966,"POINT (-122.41982646399998 37.75196896599999)"
"837",1719,"SWL 303 - Franceschis Restaurant","498 Jefferson St",94133,"Own",46,"Port",3712,-122.420116284,37.808053161,"POINT (-122.42011628400002 37.808053160999975)"
"838",3155,"Wawona Clubhouse","899 Wawona St",94116,"Own",49,"Recreation And Parks",1830,-122.476262108,37.73717931,"POINT (-122.47626210800001 37.73717930999999)"
"839",1143,"Moscone Maintenance Facility","1800 Chestnut St",94123,"Own",49,"Recreation And Parks",1200,-122.432855889,37.801560952,"POINT (-122.432855889 37.80156095199999)"
